Label.getAccessible, Accessible.addAccessibleListener/$END$(0.4) + ( 2 ),Accessible.addAccessibleListener/Label.getAccessible(0.6) + ( 3 ),Accessible.addAccessibleControlListener/$END$(1.0) + ( 4 ),
FontMetrics.getLeading, FontMetrics.getLeading/FontMetrics.getLeading(0.25) + ( 1 ),FontMetrics.getDescent/$END$(0.8333333333333334) + ( 5 ),FontMetrics.getDescent/TextLayout.dispose(0.16666666666666666) + ( 1 ),FontMetrics.getLeading/$END$(0.75) + ( 3 ),
Button.getParent, Composite.getChildren/$END$(1.0) + ( 1 ),Menu.setLocation/Menu.setVisible(1.0) + ( 1 ),Composite.getFont/Button.setFont(1.0) + ( 1 ),Composite.layout/$END$(1.0) + ( 3 ),
MenuItem.getParent, Menu.getStyle/$END$(1.0) + ( 1 ),Menu.indexOf/$END$(1.0) + ( 6 ),Menu.getShell/Shell.getDisplay(0.5) + ( 1 ),Menu.getShell/$END$(0.5) + ( 1 ),
ScrolledComposite.setContent, ScrolledComposite.setMinHeight/ScrolledComposite.setExpandHorizontal(1.0) + ( 3 ),Composite.computeSize/ScrolledComposite.setMinSize(0.3333333333333333) + ( 2 ),ScrolledComposite.setMinSize/Control.computeSize(1.0) + ( 1 ),Composite.computeSize/Composite.setSize(0.5) + ( 3 ),Composite.new/Composite.setLayout(1.0) + ( 1 ),Composite.setLayout/GridLayout.new(0.5) + ( 1 ),Composite.computeSize/Composite.addListener(0.16666666666666666) + ( 1 ),Composite.setLayout/Composite.setLayoutData(0.5) + ( 1 ),
Text.addDisposeListener, Text.setTextLimit/$END$(1.0) + ( 1 ),Text.setText/$END$(1.0) + ( 1 ),Button.new/Button.setToolTipText(1.0) + ( 2 ),
Control.notifyListeners, Control.isDisposed/Control.notifyListeners(0.14285714285714285) + ( 1 ),Control.isDisposed/Control.getMenu(0.8571428571428571) + ( 6 ),
Tree.getParent, Composite.layout/$END$(1.0) + ( 1 ),Composite.setLayout/$END$(1.0) + ( 1 ),
Shell.setImage, Shell.setImages/$END$(1.0) + ( 1 ),Shell.setSize/$END$(1.0) + ( 1 ),Shell.setLocation/Shell.setSize(0.5) + ( 1 ),Shell.setLocation/$END$(0.5) + ( 1 ),
Dialog.convertHorizontalDLUsToPixels, Dialog.convertVerticalDLUsToPixels/$END$(1.0) + ( 1 ),
ScrolledComposite.setExpandHorizontal, ScrolledComposite.setExpandVertical/$END$(0.23076923076923078) + ( 3 ),ScrolledComposite.setExpandVertical/$UNK$(0.23076923076923078) + ( 3 ),ScrolledComposite.setExpandVertical/ScrolledComposite.setLayout(0.23076923076923078) + ( 3 ),ScrolledComposite.setExpandVertical/GridData.new(0.07692307692307693) + ( 1 ),Composite.new/Composite.setLayoutData(1.0) + ( 3 ),ScrolledComposite.setExpandVertical/Composite.new(0.15384615384615385) + ( 2 ),ScrolledComposite.setExpandVertical/Composite.computeSize(0.07692307692307693) + ( 1 ),
TreeEditor.getEditor, Control.isDisposed/Control.dispose(0.25) + ( 2 ),Control.dispose/$END$(1.0) + ( 2 ),Control.isDisposed/$END$(0.75) + ( 6 ),
Combo.add, Combo.addTraverseListener/GC.new(1.0) + ( 1 ),Combo.select/$END$(0.16666666666666666) + ( 1 ),Combo.setText/GridData.new(0.3333333333333333) + ( 1 ),Combo.select/Combo.addSelectionListener(0.16666666666666666) + ( 1 ),Combo.addKeyListener/Combo.addFocusListener(1.0) + ( 1 ),Combo.select/Text.new(0.16666666666666666) + ( 1 ),Combo.getItemCount/Combo.setVisibleItemCount(0.5) + ( 1 ),Combo.addSelectionListener/Label.new(0.1111111111111111) + ( 1 ),Combo.setText/$END$(0.3333333333333333) + ( 1 ),Combo.add/GridData.new(0.4166666666666667) + ( 5 ),Combo.setEnabled/Combo.addSelectionListener(1.0) + ( 1 ),Combo.select/Combo.getItem(0.16666666666666666) + ( 1 ),Combo.select/Combo.setLayoutData(0.16666666666666666) + ( 1 ),Combo.addModifyListener/Text.new(0.6666666666666666) + ( 2 ),Combo.addSelectionListener/Combo.addTraverseListener(0.3333333333333333) + ( 3 ),Combo.getItemCount/$END$(0.5) + ( 1 ),Combo.getItem/Combo.setText(1.0) + ( 1 ),Combo.setText/Combo.getItem(0.3333333333333333) + ( 1 ),Combo.add/Combo.select(0.08333333333333333) + ( 1 ),Combo.addSelectionListener/Combo.setText(0.1111111111111111) + ( 1 ),Combo.add/Combo.addTraverseListener(0.08333333333333333) + ( 1 ),Combo.add/Combo.add(0.16666666666666666) + ( 2 ),Combo.addModifyListener/$END$(0.3333333333333333) + ( 1 ),GridData.new/Combo.setLayoutData(1.0) + ( 5 ),Combo.select/GridData.new(0.16666666666666666) + ( 1 ),Combo.addSelectionListener/$END$(0.2222222222222222) + ( 2 ),Combo.add/Combo.addSelectionListener(0.25) + ( 3 ),Combo.addSelectionListener/GridData.new(0.2222222222222222) + ( 2 ),
nsIBaseWindow.new, $UNK$/nsIBaseWindow.Release(0.8) + ( 4 ),$UNK$/$UNK$(0.2) + ( 1 ),
Group.getFont, Text.setFont/GridData.new(1.0) + ( 1 ),Composite.new/GridData.new(1.0) + ( 1 ),Link.setText/GridData.new(1.0) + ( 1 ),Button.setFont/Button.setText(1.0) + ( 3 ),Combo.setFont/$END$(1.0) + ( 2 ),
DateTime.setDay, DateTime.setMonth/DateTime.setYear(1.0) + ( 1 ),
ToolItem.setHotImage, ToolItem.setToolTipText/ToolBar.setVisible(0.3333333333333333) + ( 1 ),ToolItem.setDisabledImage/ToolItem.setToolTipText(1.0) + ( 5 ),ToolItem.addSelectionListener/ToolBar.addMouseListener(1.0) + ( 1 ),ToolItem.setToolTipText/ToolItem.addListener(0.6666666666666666) + ( 2 ),
FontMetrics.getDescent, FontMetrics.getLeading/FontMetrics.getLeading(0.3333333333333333) + ( 1 ),TextLayout.dispose/$END$(1.0) + ( 1 ),GC.dispose/$END$(1.0) + ( 2 ),FontMetrics.getLeading/$END$(0.6666666666666666) + ( 2 ),
Control.getSize, TabFolder.getSelectionIndex/$END$(1.0) + ( 1 ),Control.toDisplay/$END$(0.5) + ( 2 ),Control.setSize/$END$(1.0) + ( 2 ),Point.equals/$END$(1.0) + ( 1 ),Control.toDisplay/Control.toDisplay(0.5) + ( 2 ),Shell.setSize/Shell.setSize(1.0) + ( 2 ),
